Geneid	Chr	Start	End	Strand	Length	A1014C05.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1014C06.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C13.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C14.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C23.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C24.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam
"RP11-384D10.1"	chr4	171169208	171169942	-	735	20	15	16	29	17	10
"MIR6082"	chr4	171186183	171186292	+	110	2	6	3	3	0	5
"RP11-717H13.1"	chr4	171289474	171298267	-	8794	45	60	40	59	48	39
"RP11-97E7.1"	chr4	171552999	171564267	-	11269	109	99	55	99	53	66
"LINC02174"	chr4	171602682	171638763	-	36082	463	457	305	473	353	309
"GALNTL6"	chr4	171812253	173041559	+	1229307	15080	12162	9486	14108	10785	8718
"RP11-485C11.1"	chr4	172380027	172380487	-	461	13	7	3	7	6	6
"RP11-10K16.1"	chr4	173131927	173169652	-	37726	351	235	241	217	266	157
"RN7SL253P"	chr4	173141642	173141938	+	297	6	1	3	3	5	4
"GALNT7"	chr4	173168752	173323967	+	155216	985	549	609	529	587	447
"MIR548T"	chr4	173268159	173268233	+	75	2	2	0	0	1	1
"RP11-798M19.3"	chr4	173322205	173329694	-	7490	29	17	16	13	11	10
"HMGB2"	chr4	173331694	173335125	-	3432	4	3	0	0	2	0
"RP11-798M19.6"	chr4	173363779	173370446	-	6668	33	25	17	21	20	15
"SAP30"	chr4	173369968	173377532	+	7565	19	7	7	7	9	3
"SCRG1"	chr4	173384700	173406380	-	21681	200	141	138	185	172	139
"RPL5P11"	chr4	173419244	173420137	-	894	3	3	2	3	1	3
"RNU6-1096P"	chr4	173446602	173446704	-	103	2	1	1	1	0	1
"RP11-489G11.3"	chr4	173467832	173470041	-	2210	42	27	25	27	27	18
"HAND2"	chr4	173524968	173530229	-	5262	46	5	20	15	13	15
"HAND2-AS1"	chr4	173527269	173591324	+	64056	794	495	506	651	546	394
"RP11-475B2.1"	chr4	173593671	173594556	+	886	11	8	7	6	7	1
"MORF4"	chr4	173615935	173616906	-	972	31	19	26	43	19	20
"RANP6"	chr4	173633727	173634371	-	645	14	18	15	19	13	8
"RP11-161D15.2"	chr4	173877470	173913252	-	35783	555	502	389	556	407	335
"RP11-161D15.1"	chr4	173897251	173929525	+	32275	399	318	237	324	252	195
"RP11-161D15.3"	chr4	173924206	173990861	-	66656	822	645	516	789	587	479
"RP11-148L24.1"	chr4	174094659	174220398	-	125740	1367	946	855	1140	1006	734
"RP11-248N22.1"	chr4	174135054	174154637	-	19584	153	105	105	102	107	80
"RP11-248N22.2"	chr4	174164440	174168913	-	4474	52	37	36	68	42	41
"FBXO8"	chr4	174236657	174284264	-	47608	224	161	153	165	167	120
"CEP44"	chr4	174283676	174333380	+	49705	395	286	202	311	291	235
"RP11-51M24.1"	chr4	174354853	174376445	-	21593	266	205	172	187	206	123
"MIR4276"	chr4	174423794	174423864	+	71	1	0	0	0	0	0
"HPGD"	chr4	174490176	174523154	-	32979	389	259	243	333	282	221
"RP11-440I14.2"	chr4	174523700	174540344	-	16645	216	183	131	211	160	130
"RP11-440I14.3"	chr4	174536639	174540784	+	4146	67	44	39	59	37	31
"RP11-440I14.4"	chr4	174539188	174540255	-	1068	19	16	15	18	13	14
"GLRA3"	chr4	174636913	174829314	-	192402	2042	1498	1323	1776	1462	1114
"ADAM29"	chr4	174829667	174978180	+	148514	1757	1330	1098	1457	1300	1054
"RP13-577H12.3"	chr4	174923812	174924038	-	227	8	11	2	4	5	4
"RP13-577H12.2"	chr4	174977570	174979381	-	1812	39	24	26	21	13	11
"RP11-391J13.1"	chr4	175017015	175019214	+	2200	30	21	23	24	23	23
"RP11-287F9.1"	chr4	175286604	175290767	+	4164	43	35	25	50	43	28
"RP11-287F9.2"	chr4	175346357	175403110	-	56754	605	455	390	462	472	379
"RP11-598D14.1"	chr4	175458288	175466697	-	8410	125	84	78	88	94	56
"TSEN2P1"	chr4	175494613	175496000	+	1388	44	23	25	39	37	16
"ADAM20P2"	chr4	175574867	175576140	+	1274	25	26	18	31	19	20
"GPM6A"	chr4	175632933	176002664	-	369732	4242	3487	2786	3986	3115	2605
"RP11-806K15.1"	chr4	175790306	175812189	+	21884	220	167	128	204	169	130
"RP11-598O12.1"	chr4	175962060	175962485	+	426	6	10	12	16	7	7
"MARK2P4"	chr4	176012037	176014417	-	2381	50	50	36	64	43	29
"WDR17"	chr4	176065833	176182818	+	116986	1035	889	609	951	700	567
"SPATA4"	chr4	176184637	176195671	-	11035	127	59	53	71	66	48
"ASB5"	chr4	176213672	176277571	-	63900	787	523	514	589	601	403
"RP11-87F15.2"	chr4	176308267	176320458	-	12192	115	77	78	92	87	47
"SPCS3"	chr4	176319963	176332245	+	12283	48	23	26	21	23	13
"RP11-313E19.1"	chr4	176631391	176633231	-	1841	26	14	21	15	21	12
"RP11-313E19.2"	chr4	176669620	176706145	+	36526	463	339	285	441	332	267
"VEGFC"	chr4	176683537	176792727	-	109191	1124	839	749	1044	825	636
"RP11-624A4.1"	chr4	176866613	176875457	-	8845	128	93	80	111	98	72
"RP11-765K14.1"	chr4	176875701	176880605	+	4905	100	97	64	127	79	73
"RN7SKP136"	chr4	177181441	177181741	+	301	14	13	1	11	6	5
"RP11-487E13.1"	chr4	177242538	177248773	-	6236	51	33	20	29	33	23
"NEIL3"	chr4	177309835	177362943	+	53109	275	179	165	171	156	120
"RP11-376O6.2"	chr4	177343003	177357032	-	14030	93	59	56	67	55	32
"AGA"	chr4	177430769	177442503	-	11735	59	31	34	40	42	42
"RP11-130F10.1"	chr4	177444978	177677126	+	232149	2546	1793	1668	1964	1856	1436
"RNA5SP172"	chr4	177457110	177457228	-	119	3	0	0	0	2	2
"RP11-140M13.1"	chr4	177686672	177691068	-	4397	56	43	37	43	45	32
"LINC01098"	chr4	177728756	177990750	+	261995	3256	2548	2060	2919	2474	2023
"LINC01099"	chr4	177729637	177907936	-	178300	2439	1920	1549	2158	1874	1487
"RNU1-45P"	chr4	178116720	178116861	-	142	3	2	0	4	1	1
"RP11-84H6.1"	chr4	178286694	178287285	+	592	19	13	8	12	13	8
"RNA5SP173"	chr4	178406694	178406830	+	137	1	5	1	2	2	1
"SNORD65"	chr4;chr6;chr7;chr8;chr17	178685885;67210407;23396445;41426654;16441225	178685956;67210480;23396516;41426727;16441298	-;-;+;+;+	366	3	1	5	3	2	5
"RP11-296L20.1"	chr4	179069436	179069594	+	159	4	1	2	1	3	4
"RP11-404J23.1"	chr4	179389133	179465305	-	76173	897	826	630	1025	714	586
"RP11-774G5.1"	chr4	179856852	179857581	+	730	7	9	6	4	4	5
"NDUFB5P1"	chr4	180573463	180574027	-	565	15	6	6	9	8	8
"RP11-460H9.1"	chr4	180731163	180759038	-	27876	361	279	231	392	237	248
"LINC00290"	chr4	181064088	181159149	-	95062	1376	1081	810	1330	1014	775
"RP11-665C14.1"	chr4	181237357	181237564	-	208	5	1	1	4	1	2
"RP11-665C14.2"	chr4	181261160	181265029	-	3870	52	29	21	35	28	12
"RP11-433O3.1"	chr4	181522665	181523001	+	337	8	3	2	6	6	1
"RP11-540E16.2"	chr4	181820018	181829973	-	9956	140	114	93	135	101	80
"RN7SKP13"	chr4	181834864	181835108	-	245	5	4	3	3	4	4
"AC108142.1"	chr4	181874437	182145249	-	270813	4376	3497	2945	4489	3067	2510
"CCNHP1"	chr4	181905789	181906467	-	679	18	18	10	22	10	9
"TENM3"	chr4	182143986	182803024	+	659039	8586	6173	5313	7188	5741	4357
"RP11-402C9.1"	chr4	182144851	182190382	+	45532	421	281	266	337	288	209
"MIR1305"	chr4	182169292	182169378	+	87	0	2	1	1	0	0
"RNU2-34P"	chr4	182548658	182548779	+	122	4	2	3	6	2	2
"RN7SKP67"	chr4	182631453	182631688	-	236	1	2	2	7	2	2
"RP11-18D7.3"	chr4	182697901	182708042	-	10142	123	84	61	96	103	59
"RP11-18D7.2"	chr4	182772564	182773931	-	1368	18	11	4	9	10	7
"RP11-188P17.2"	chr4	182881776	182882203	-	428	4	1	1	2	4	4
"DCTD"	chr4	182890059	182917936	-	27878	149	77	76	92	90	57
"RP11-335L23.2"	chr4	183028600	183029720	-	1121	24	16	31	14	23	6
"FAM92A1P2"	chr4	183037664	183040119	+	2456	45	33	25	22	16	20
"RP11-335L23.4"	chr4	183075479	183076033	-	555	5	3	3	5	1	0
"RP11-335L23.5"	chr4	183094422	183095056	-	635	3	4	4	2	5	3
"WWC2-AS2"	chr4	183097016	183099199	-	2184	33	14	14	7	17	6
"WWC2"	chr4	183099292	183320777	+	221486	2706	1628	1677	1872	1856	1206
"WWC2-AS1"	chr4	183233627	183240634	-	7008	118	85	71	100	90	58
"CLDN22"	chr4	183318193	183320774	-	2582	26	21	15	14	17	20
"CLDN24"	chr4	183321763	183322426	-	664	12	9	11	10	11	9
"RP11-451F20.1"	chr4	183380344	183381705	+	1362	32	11	20	18	26	15
"RP11-692E14.1"	chr4	183418889	183419805	-	917	17	5	8	3	11	1
"CDKN2AIP"	chr4	183444590	183448198	+	3609	11	5	6	2	3	3
"VTI1BP2"	chr4	183483489	183484185	+	697	6	7	6	4	7	6
"RP11-367N14.2"	chr4	183494937	183504494	-	9558	41	24	25	24	27	14
"ING2"	chr4	183504993	183511096	+	6104	32	15	13	8	17	7
"RP11-367N14.3"	chr4	183516893	183517527	+	635	7	4	5	3	2	1
"RWDD4"	chr4	183639634	183659225	-	19592	80	45	33	43	40	39
"RNU6-479P"	chr4	183653571	183653676	-	106	1	0	0	0	0	0
"TRAPPC11"	chr4	183659266	183713594	+	54329	259	145	125	156	144	96
"RNU6-335P"	chr4	183675602	183675715	-	114	0	1	0	0	0	0
"RNU6-1053P"	chr4	183705930	183706031	+	102	3	0	0	2	1	0
"RP11-499F19.3"	chr4	183762114	183765721	-	3608	47	27	31	25	31	33
"STOX2"	chr4	183797691	184023526	+	225836	2131	1301	1292	1384	1406	1074
"RP11-739P1.2"	chr4	183987677	183988750	+	1074	1	1	0	2	4	4
"RP11-739P1.3"	chr4	184014034	184016382	+	2349	20	16	10	12	6	11
"RP11-616K6.1"	chr4	184072402	184073039	+	638	18	19	15	21	15	14
"ENPP6"	chr4	184088705	184221230	-	132526	2150	1410	1401	1570	1487	1038
"RP11-162O12.1"	chr4	184254508	184255330	+	823	13	9	11	15	9	13
"RN7SL28P"	chr4	184278935	184279233	+	299	3	4	2	7	5	2
"MYL12BP2"	chr4	184299128	184299640	-	513	11	5	6	6	5	7
"RP11-290F5.2"	chr4	184340755	184353977	-	13223	110	65	66	58	83	52
"RP11-290F5.1"	chr4	184365182	184382306	-	17125	195	125	140	128	131	91
"IRF2"	chr4	184387712	184474580	-	86869	593	257	314	243	336	207
"SNORD79"	chr4	184431965	184432049	+	85	0	1	0	0	0	0
"RP11-326I11.5"	chr4	184471923	184472609	-	687	4	0	0	0	0	1
"RP11-326I11.3"	chr4	184474801	184477304	+	2504	8	4	4	3	5	3
"RP11-326I11.4"	chr4	184506459	184537554	-	31096	320	212	204	235	259	158
"RP11-326I11.1"	chr4	184559174	184559783	-	610	6	5	5	1	4	2
"RP11-242J7.1"	chr4	184584092	184625030	-	40939	632	403	407	399	430	319
"CASP3"	chr4	184627695	184649509	-	21815	118	57	50	36	47	40
"PRIMPOL"	chr4	184649612	184694963	+	45352	306	202	156	181	179	157
"CENPU"	chr4	184694617	184734133	-	39517	197	119	97	103	100	80
"ACSL1"	chr4	184755594	184826818	-	71225	372	174	193	184	194	131
"SLED1"	chr4	184798295	184799046	-	752	9	0	6	0	7	0
"RP11-701P16.2"	chr4	184813618	184821300	+	7683	32	17	20	22	25	11
"MIR3945HG"	chr4	184844584	184855751	-	11168	122	89	97	103	112	76
"MIR3945"	chr4	184851012	184851110	-	99	2	1	1	0	2	0
"LINC01093"	chr4	184893870	184899454	-	5585	31	12	17	22	24	18
"RP11-701P16.3"	chr4	184910888	184911352	-	465	10	8	5	8	5	10
"MIR4455"	chr4	184938382	184938440	-	59	1	0	0	0	0	0
"RP11-517M22.1"	chr4	184984276	184988127	-	3852	76	41	44	42	39	31
"RP11-386B13.4"	chr4	184988996	185005186	+	16191	144	79	91	79	108	54
"HELT"	chr4	185018840	185020804	+	1965	4	1	1	1	0	0
"RP11-386B13.3"	chr4	185051895	185107248	+	55354	615	331	349	379	362	265
"RP11-386B13.1"	chr4	185064980	185065323	+	344	5	1	4	5	2	5
"SLC25A4"	chr4	185143240	185150382	+	7143	39	14	16	20	20	13
"CFAP97"	chr4	185159664	185209504	-	49841	224	115	130	117	127	80
"SNX25"	chr4	185204236	185370185	+	165950	1406	793	840	813	926	642
"LRP2BP"	chr4	185363878	185395899	-	32022	282	159	159	177	165	127
"RP11-714G18.1"	chr4	185370724	185390928	+	20205	212	118	112	123	118	93
"ANKRD37"	chr4	185396020	185400628	+	4609	9	2	3	3	4	1
"UFSP2"	chr4	185399539	185425985	-	26447	109	58	68	82	62	67
"C4orf47"	chr4	185426248	185449826	+	23579	117	70	85	69	96	56
"CCDC110"	chr4	185445181	185471759	-	26579	229	153	145	143	171	129
"RP11-279O9.4"	chr4	185471515	185472263	+	749	1	0	0	0	1	0
"PDLIM3"	chr4	185500659	185535612	-	34954	312	196	183	184	213	129
"SORBS2"	chr4	185585443	185956652	-	371210	4291	2855	2732	3171	3160	2263
"RP11-301L8.2"	chr4	185587908	185594003	+	6096	43	23	21	23	18	12
"RP11-626E13.1"	chr4	185665884	185675417	+	9534	130	117	94	138	115	85
"RP11-45I20.1"	chr4	185918139	185919460	+	1322	27	17	9	27	26	19
"RNU4-64P"	chr4	186026455	186026586	-	132	2	4	4	3	2	2
"TLR3"	chr4	186069151	186088069	+	18919	154	121	110	116	114	85
"FAM149A"	chr4	186104418	186172667	+	68250	663	383	403	425	500	278
"RPSAP70"	chr4	186157895	186158843	+	949	6	4	3	3	4	0
"ORAOV1P1"	chr4	186170862	186171257	-	396	4	2	2	1	2	3
"FLJ38576"	chr4	186189031	186191490	-	2460	10	2	3	1	6	5
"CYP4V2"	chr4	186191519	186213456	+	21938	180	104	104	124	129	88
"KLKB1"	chr4	186208978	186258471	+	49494	751	499	446	618	522	364
"F11"	chr4	186265944	186288806	+	22863	275	150	158	169	201	124
"F11-AS1"	chr4	186286093	186500997	-	214905	3274	2055	2117	2380	2210	1590
"SLC25A5P6"	chr4	186328715	186329601	-	887	29	17	14	17	22	6
"RP11-215A19.2"	chr4	186426545	186555328	-	128784	2166	1356	1466	1680	1513	1011
"RNU6-1055P"	chr4	186501108	186501215	+	108	3	3	1	1	4	0
"MTNR1A"	chr4	186533654	186555567	-	21914	307	191	183	236	219	155
"FAT1"	chr4	186587782	186726722	-	138941	720	332	416	437	388	280
"RP11-11N5.1"	chr4	186890968	186892366	+	1399	7	6	5	11	4	10
"RP11-11N5.3"	chr4	186892551	186892983	+	433	2	3	1	1	1	1
"MRPS36P2"	chr4	186900539	186900838	+	300	0	0	1	1	2	1
"RP11-217E13.1"	chr4	186979489	187021973	-	42485	341	206	207	214	244	183
"RP11-696F12.1"	chr4	187060098	187060930	+	833	10	6	1	3	4	3
"RP11-308K2.1"	chr4	187201985	187209346	+	7362	55	40	49	40	41	32
"RP11-138B4.1"	chr4	187304082	187309682	-	5601	75	46	62	55	61	37
"RP11-91J3.2"	chr4	187370647	187371921	+	1275	32	15	19	15	23	12
"RP11-91J3.3"	chr4	187413563	187415697	+	2135	10	6	8	3	8	8
"RP11-91J3.1"	chr4	187441676	187444298	-	2623	62	26	38	53	32	34
"RP11-237D3.1"	chr4	187516152	187517208	-	1057	30	19	15	18	21	13
"RP11-565A3.2"	chr4	187532877	187672641	-	139765	1479	980	910	1040	1011	762
"RP11-565A3.1"	chr4	187613764	187660369	+	46606	515	343	311	405	347	279
"ADAM20P3"	chr4	187746093	187748199	-	2107	52	33	28	40	29	28
"RP11-713C19.2"	chr4	187970272	187971284	+	1013	28	22	11	20	16	12
"ZFP42"	chr4	187995770	188005050	+	9281	28	17	17	14	13	19
"TRIML2"	chr4	188091272	188109603	-	18332	188	104	137	106	137	98
"RP11-713C19.1"	chr4	188106557	188106914	+	358	1	2	3	1	2	2
"RNU6-173P"	chr4	188121530	188121634	-	105	1	0	0	1	0	0
"TRIML1"	chr4	188139418	188147743	+	8326	96	45	75	45	62	49
"RP11-366H4.3"	chr4	188140821	188143379	-	2559	24	8	28	18	18	14
"RP11-366H4.1"	chr4	188160064	188161139	+	1076	3	3	1	3	1	1
"RP11-219G10.1"	chr4	188349375	188350024	-	650	3	2	3	3	7	6
"ICE2P1"	chr4	188387470	188389666	-	2197	16	9	7	5	10	12
"LINC01060"	chr4	188400735	188681051	+	280317	2953	2063	1938	2384	2230	1665
"RP11-756P10.1"	chr4	188630923	188631747	+	825	21	11	18	16	14	9
"RP11-756P10.7"	chr4	188713643	188715442	+	1800	38	19	29	35	36	20
"RNU7-192P"	chr4	188716664	188716725	-	62	2	0	1	1	0	0
"RP11-756P10.3"	chr4	188738372	188739494	+	1123	12	7	9	11	7	9
"RP11-756P10.6"	chr4	188740506	188741281	-	776	14	5	2	9	2	2
"RP11-756P10.4"	chr4	188757678	188778979	+	21302	264	217	176	251	227	158
"RP11-756P10.5"	chr4	188776656	188785511	+	8856	99	51	73	84	60	56
"RP11-756P10.2"	chr4	188777678	188796633	-	18956	261	170	168	228	170	138
"RP11-818C3.1"	chr4	188990714	189002075	-	11362	197	143	146	154	150	106
"RP11-706F1.1"	chr4	189193099	189204877	+	11779	126	95	79	96	113	74
"RP11-706F1.2"	chr4	189288676	189291336	-	2661	58	27	30	34	29	30
"HSP90AA4P"	chr4	189472964	189475192	+	2229	30	24	23	34	27	20
"LINC01262"	chr4	189659604	189661486	+	1883	17	4	9	11	9	9
"RP11-462G22.2"	chr4	189703880	189704490	-	611	0	2	3	2	1	2
"RNU1-51P"	chr4	189709538	189709714	-	177	2	3	0	4	3	2
"AF146191.4"	chr4	189780335	189940271	-	159937	1222	910	818	1104	840	675
"LINC01596"	chr4	189881514	189884868	+	3355	23	16	18	18	13	4
"FRG1"	chr4	189940787	189963204	+	22418	156	128	81	123	100	80
"MLLT10P2"	chr4	189973598	189973847	-	250	4	0	2	2	2	1
"AF146191.8"	chr4	189979901	189982379	+	2479	19	16	16	10	9	7
"TUBB7P"	chr4	189982522	189984871	-	2350	15	15	12	8	15	8
"RNA5SP174"	chr4	190015137	190015255	+	119	2	0	0	0	1	0
"RNA5SP175"	chr4	190017695	190017814	+	120	0	0	0	0	0	0
"DUX4L9"	chr4	190021406	190022665	-	1260	416	293	339	395	250	185
"FRG2"	chr4	190024350	190027257	-	2908	28	16	14	14	16	8
"RARRES2P4"	chr4	190037915	190038399	-	485	8	4	2	6	5	2
"AGGF1P1"	chr4	190041341	190043414	+	2074	24	9	10	6	12	5
"CLUHP4"	chr4	190057901	190063005	-	5105	89	50	54	53	61	29
"DBET"	chr4	190064501	190067864	+	3364	73	35	36	54	42	17
"DUX4L30"	chr4	190065232	190065914	+	683	26	10	11	18	10	3
"DUX4L8"	chr4	190067934	190069209	+	1276	43	37	26	40	24	15
"DUX4L7"	chr4	190071231	190072506	+	1276	46	28	17	38	16	11
"DUX4L6"	chr4	190074524	190075799	+	1276	37	26	35	36	25	8
"DUX4L5"	chr4	190077817	190079092	+	1276	49	28	29	31	14	18
"DUX4L4"	chr4	190081117	190082386	+	1270	51	34	48	58	40	17
"DUX4L1"	chr4	190084411	190085686	+	1276	37	27	25	35	19	12
"DUX4L3"	chr4	190087704	190088979	+	1276	34	29	33	35	21	14
"DUX4L2"	chr4	190091004	190092279	+	1276	44	22	32	28	18	12
"DUX4"	chr4	190173773	190185942	+	12170	2697	2229	2281	3020	2180	1585
"RPL23AP84"	chr4	190195726	190196190	+	465	10	8	5	12	1	7
"ABC7-42391500H16.4"	chr4	190195737	190195978	-	242	6	3	3	7	1	4
"RP11-811I15.1"	chr5	58197	58915	+	719	50	39	30	52	35	38
"PLEKHG4B"	chr5	92150	189972	+	97823	1736	1090	1063	1188	1055	833
"LRRC14B"	chr5	191510	195353	+	3844	58	30	37	23	25	22
"CTD-2083E4.7"	chr5	195777	196341	+	565	7	3	2	4	1	0
"CCDC127"	chr5	196870	218215	-	21346	253	124	151	154	139	120
"CTD-2083E4.4"	chr5	213897	217279	-	3383	39	11	23	12	29	11
"SDHA"	chr5	218240	256700	+	38461	402	230	252	223	240	168
"CTD-2083E4.6"	chr5	269857	271516	-	1660	10	2	2	4	5	2
"PDCD6"	chr5	271620	353856	+	82237	1262	740	834	827	798	571
"CTD-2083E4.5"	chr5	288832	290321	-	1490	17	9	8	9	4	5
"AHRR"	chr5	304175	438291	+	134117	2690	1485	1766	1748	1694	1179
"CTD-2228K2.2"	chr5	403730	404546	-	817	12	4	13	6	7	4
"CTD-2228K2.1"	chr5	418702	419109	+	408	8	5	7	7	9	7
"EXOC3-AS1"	chr5	441497	443160	-	1664	26	5	8	2	11	7
"EXOC3"	chr5	443157	471937	+	28781	297	122	136	142	160	127
"PP7080"	chr5	466123	473098	-	6976	50	11	11	17	21	12
"CTD-2228K2.7"	chr5	473235	480884	+	7650	27	5	13	11	9	7
"SLC9A3"	chr5	473309	524332	-	51024	473	234	279	289	255	167
"RP11-310P5.2"	chr5	524704	526594	+	1891	8	2	3	2	3	1
"MIR4456"	chr5	535839	535882	-	44	0	0	0	0	1	0
"RP11-310P5.1"	chr5	602619	612210	-	9592	117	66	72	78	84	50
"CEP72"	chr5	612271	667168	+	54898	1146	770	699	993	557	493
"TPPP"	chr5	659861	693395	-	33535	707	334	459	386	377	226
"CTD-2589H19.6"	chr5	675825	676616	+	792	11	7	8	5	7	5
"ZDHHC11B"	chr5	710359	766952	-	56594	3878	2518	2432	3004	2521	1737
"BRD9P2"	chr5	767381	768930	-	1550	124	61	69	64	74	36
"ZDHHC11"	chr5	795605	850986	-	55382	2660	1753	1707	2179	1703	1242
"SPCS2P3"	chr5	816345	817001	+	657	35	29	21	47	25	20
"BRD9"	chr5	850290	892824	-	42535	698	386	420	395	355	251
"TRIP13"	chr5	892642	919357	+	26716	191	93	122	108	85	68
"RP11-661C8.2"	chr5	946314	956520	+	10207	185	109	123	140	111	81
"RP11-661C8.3"	chr5	979364	981300	+	1937	24	14	15	7	19	13
"RP11-43F13.3"	chr5	987179	997308	-	10130	173	86	110	85	133	48
"RP11-43F13.4"	chr5	1005038	1006623	+	1586	7	2	4	3	1	4
"NKD2"	chr5	1008828	1038943	+	30116	438	233	327	322	264	161
"SLC12A7"	chr5	1050375	1112035	-	61661	517	208	318	235	250	135
"MIR4635"	chr5	1062895	1062974	-	80	3	1	0	0	1	0
"CTD-3080P12.3"	chr5	1173140	1178605	-	5466	177	62	106	59	105	47
"SLC6A19"	chr5	1201594	1225117	+	23524	604	291	385	393	393	229
"SLC6A18"	chr5	1225354	1246189	+	20836	506	261	315	297	317	158
"TERT"	chr5	1253146	1295069	-	41924	1170	649	740	740	664	445
"MIR4457"	chr5	1309309	1309377	-	69	9	4	2	5	2	6
"CLPTM1L"	chr5	1317743	1345099	-	27357	106	50	64	41	50	35
"LINC01511"	chr5	1363581	1380067	-	16487	317	195	204	190	233	140
"MTCO2P32"	chr5	1370542	1370945	-	404	12	4	2	9	6	5
"RP11-325I22.3"	chr5	1383158	1386409	-	3252	35	12	17	13	20	8
"SLC6A3"	chr5	1392789	1445430	-	52642	1103	684	735	818	722	463
"LPCAT1"	chr5	1456479	1523977	-	67499	449	230	212	221	230	157
"MIR6075"	chr5	1510761	1510856	-	96	0	0	1	0	0	0
"CTD-2245E15.3"	chr5	1544106	1551710	-	7605	203	54	133	62	143	55
"SDHAP3"	chr5	1572221	1594620	-	22400	447	304	296	298	300	224
"CTD-2012J19.3"	chr5	1594625	1611467	+	16843	186	91	120	105	119	57
"CTD-2012J19.2"	chr5	1598126	1598247	+	122	3	0	1	1	1	0
"RP11-43F13.1"	chr5	1598919	1634005	-	35087	707	454	439	568	423	327
"CTD-2012J19.1"	chr5	1614835	1616334	+	1500	13	10	7	6	5	8
"MIR4277"	chr5	1708784	1708868	-	85	8	6	2	5	8	2
"CTD-2587M23.1"	chr5	1725148	1728172	+	3025	44	23	22	21	38	23
"MRPL36"	chr5	1798385	1801366	-	2982	7	4	8	3	7	5
"NDUFS6"	chr5	1801399	1816605	+	15207	211	116	100	91	84	70
"CTD-2194D22.1"	chr5	1850949	1851497	+	549	0	0	1	0	3	2
"LINC02116"	chr5	1855969	1856568	-	600	7	7	6	8	7	3
"CTD-2194D22.5"	chr5	1858408	1859890	-	1483	51	23	29	28	20	21
"IRX4"	chr5	1877412	1887236	-	9825	158	72	103	62	108	45
"CTD-2194D22.3"	chr5	1883965	1884649	+	685	4	0	1	2	4	1
"CTD-2194D22.4"	chr5	1887331	1900493	+	13163	263	99	165	98	129	78
"RP11-259O2.1"	chr5	1933862	1959176	+	25315	975	542	562	528	526	339
"RP11-259O2.2"	chr5	1963608	1967154	-	3547	96	53	57	45	55	30
"RP11-259O2.3"	chr5	1968093	1969013	+	921	13	7	6	19	13	16
"RP11-24P24.1"	chr5	2261858	2262023	+	166	2	3	7	4	3	1
"LSINCT5"	chr5	2712590	2715237	+	2648	101	35	50	44	46	33
"RP11-129I19.2"	chr5	2736661	2737759	-	1099	23	17	17	10	10	13
"IRX2"	chr5	2745844	2751662	-	5819	21	0	8	4	8	6
"C5orf38"	chr5	2752130	2755397	+	3268	5	0	3	2	3	4
"RP11-692C23.1"	chr5	2787450	2788549	-	1100	63	39	39	35	46	37
"RP11-468D11.1"	chr5	2831020	2835139	-	4120	102	84	71	94	74	62
"RP11-35O7.1"	chr5	2965005	2967628	+	2624	188	152	147	201	139	82
"LINC01377"	chr5	3177834	3181232	+	3399	86	61	58	55	58	30
"LINC01019"	chr5	3417151	3536094	-	118944	5360	4263	3539	4946	3645	2766
"LINC02162"	chr5	3452815	3461660	+	8846	406	306	265	347	283	209
"LINC01017"	chr5	3496228	3504004	-	7777	372	289	253	376	264	200
"IRX1"	chr5	3596053	3601403	+	5351	181	77	108	70	104	59
"CTD-2012M11.3"	chr5	3596210	3600188	-	3979	134	51	80	44	76	45
"CTD-2287N17.1"	chr5	4012707	4013649	-	943	17	13	13	14	13	7
"CTD-2383I20.1"	chr5	4033712	4041764	-	8053	547	503	377	685	411	351
"LINC02063"	chr5	4135681	4143648	+	7968	347	316	240	381	289	182
"RP11-445O3.3"	chr5	4436849	4440259	-	3411	234	200	139	260	162	142
"RP11-445O3.2"	chr5	4451929	4866221	-	414293	16360	13951	10734	17257	11836	9809
"RP11-445O3.1"	chr5	4512261	4516776	+	4516	108	65	88	108	58	43
"CTD-2318H23.1"	chr5	4640730	4648254	+	7525	300	227	210	293	223	175
"LINC02114"	chr5	4773480	4774865	+	1386	51	29	26	40	28	27
"CTD-2161F6.2"	chr5	4775475	4805769	-	30295	1158	1114	772	1252	911	744
"CTD-2161F6.1"	chr5	4831698	4849800	-	18103	679	578	453	726	492	422
"CTD-2046I8.1"	chr5	4866520	4874759	+	8240	379	189	267	231	203	132
"CTD-2247C11.2"	chr5	4967763	4970425	-	2663	152	148	109	185	126	116
"CTD-2247C11.1"	chr5	4974689	5034267	-	59579	2976	2326	1866	2960	2165	1682
"LINC01020"	chr5	5034358	5070004	+	35647	1525	1231	1024	1589	1088	907
"CTD-2247C11.4"	chr5	5046795	5049497	-	2703	111	103	62	108	82	60
"LINC02121"	chr5	5069191	5078311	-	9121	482	368	351	562	353	288
"RN7SKP73"	chr5	5126045	5126337	+	293	28	23	18	24	17	12
